image,href,adress,price,title
https://img.olx.com.br/thumbs256x256/69/698008002979574.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-697387805,"
									Palhoça, 
										Ponte do Imaruim
									
								", R$ 41.900,"
									Gol 1.6  - 2019
								"
https://img.olx.com.br/thumbs256x256/73/739926013853865.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-bola-703460000,"
									Palhoça, 
										Guarda do Cubatão
									
								", R$ 9.000,"
									Gol bola - 2004
								"
https://img.olx.com.br/thumbs256x256/58/589928113087724.jpg,https://(null).olx.com.br/(null)/(null)/gol-1-0-g4-flex-4p-gnv-655122301,"
									
										Kobrasol
									
								", R$ 19.790,"
									Gol 1.0 (G4) (Flex) 4p GNV
								"
https://img.olx.com.br/thumbs256x256/69/699007008284879.jpg,https://(null).olx.com.br/(null)/(null)/saveiro-trendline-1-6-msi-cs-flex-677406648,"
									
										Kobrasol
									
								", R$ 42.890,"
									Saveiro Trendline 1.6 MSI CS (Flex)
								"
https://img.olx.com.br/thumbs256x256/99/994930094854498.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/brasilia-672926839,"
									São José, 
										Fazenda Santo Antônio
									
								", R$ 26.900,"
									Brasilia  
								"
https://img.olx.com.br/thumbs256x256/69/699007002800370.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2018-2018-1-6-msi-robust-cs-8v-flex-2p-manual-703394611,"
									São José, 
										Campinas
									
								", R$ 39.900,"
									SAVEIRO 2018/2018 1.6 MSI ROBUST CS 8V FLEX 2P MANUAL - 2018
								"
https://img.olx.com.br/thumbs256x256/69/698007009721532.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-lindo-fox-highline-baixo-km-703343739,"
									São José, 
										Nossa Senhora do Rosário
									
								", R$ 35.490,"
									Vendo lindo Fox Highline baixo km - 2014
								"
https://img.olx.com.br/thumbs256x256/69/690007002817931.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/triciclo-2007-documentado-633105062,"
									São José, 
										Kobrasol
									
								", R$ 16.900,"
									Triciclo 2007 Documentado - 2007
								"
https://img.olx.com.br/thumbs256x256/68/684007008756897.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/gol-2018-2019-1-6-msi-totalflex-4p-manual-682482256,"
									São José, 
										Barreiros
									
								", R$ 37.900,"
									GOL 2018/2019 1.6 MSI TOTALFLEX 4P MANUAL - 2019
								"
"https://img.olx.com.br/thumbs256x256/94/945925098131550.jpg,943925096421112.jpg,947925095178188.jpg,947925097562160.jpg,944925092143883.jpg,940925099271464.jpg,944925098670935.jpg,942925096318102.jpg,948925091033974.jpg",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/troco-gol-1999-por-moto-bros-703284989,"
									São José, 
										Flor de Nápolis
									
								", R$ 3.500,"
									Troco Gol 1999 por moto Bros - 1999
								"
https://img.olx.com.br/thumbs256x256/68/689007003758872.jpg,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2018-2018-1-6-msi-totalflex-trendline-4p-manual-675707143,"
									São José, 
										Barreiros
									
								", R$ 41.180,"
									VOLKSWAGEN VOYAGE 2018/2018 1.6 MSI TOTALFLEX TRENDLINE 4P MANUAL - 2018
								"
